iter	Passed	Remaining
527	824	737
528	826	735
529	827	733
530	828	732
531	830	730
532	832	729
533	833	727
534	835	726
535	837	724
536	838	723
537	840	721
538	841	719
539	843	718
540	845	716
541	846	715
542	848	713
543	849	712
544	851	710
545	852	709
546	854	707
547	855	705
548	857	704
549	858	702
550	860	701
551	862	699
552	863	698
553	865	696
554	866	694
555	868	693
556	870	691
557	871	690
558	872	688
559	874	687
560	876	685
561	877	684
562	879	682
563	880	680
564	882	679
565	884	678
566	886	677
567	888	676
568	890	674
569	892	672
570	893	671
571	895	669
572	896	668
573	898	666
574	899	665
575	901	663
576	902	661
577	904	660
578	906	658
579	907	657
580	909	655
581	910	654
582	912	652
583	913	650
584	915	649
585	917	647
586	918	646
587	920	644
588	922	643
589	923	641
590	925	640
591	926	638
592	928	637
593	929	635
594	931	633
595	932	632
596	934	630
597	935	629
598	937	627
599	938	625
600	940	624
601	941	622
602	943	621
603	945	619
604	946	618
605	948	616
606	950	615
607	951	613
608	953	611
609	954	610
610	956	608
611	957	607
612	959	605
613	960	603
614	962	602
615	963	600
616	965	599
617	966	597
618	968	596
619	970	594
620	971	592
621	973	591
622	974	589
623	976	588
624	977	586
625	979	585
626	980	583
627	982	581
628	983	580
629	985	578
630	987	577
631	989	575
632	990	574
633	992	572
634	993	571
635	995	569
636	997	568
637	998	566
638	1000	565
639	1001	563
640	1003	561
641	1004	560
642	1006	559
643	1008	557
644	1010	555
645	1011	554
646	1013	552
647	1014	551
648	1016	549
649	1017	548
650	1019	546
651	1021	545
652	1023	543
653	1024	542
654	1026	540
655	1028	539
656	1029	537
657	1031	535
658	1032	534
659	1034	532
660	1036	531
661	1037	529
662	1039	528
663	1041	526
664	1042	525
665	1044	523
666	1045	522
667	1047	520
668	1049	519
669	1050	517
670	1052	515
671	1054	514
672	1055	512
673	1057	511
674	1058	509
675	1060	508
676	1062	506
677	1064	505
678	1065	503
679	1067	502
680	1069	500
681	1071	499
682	1072	497
683	1074	496
684	1075	494
685	1077	493
686	1079	491
687	1081	490
688	1082	488
689	1084	487
690	1086	485
691	1088	484
692	1089	482
693	1091	481
694	1093	479
695	1094	478
696	1096	476
697	1097	474
698	1099	473
699	1101	471
700	1102	470
701	1104	468
702	1105	467
703	1107	465
704	1109	464
705	1110	462
706	1112	461
707	1114	459
708	1115	457
709	1116	456
710	1118	454
711	1120	453
712	1121	451
713	1123	450
714	1124	448
715	1126	446
716	1128	445
717	1129	443
718	1131	442
719	1132	440
720	1134	439
721	1136	437
722	1137	435
723	1139	434
724	1140	432
725	1142	431
726	1143	429
727	1145	427
728	1146	426
729	1148	424
730	1149	423
731	1151	421
732	1152	419
733	1154	418
734	1155	416
735	1157	415
736	1158	413
737	1160	411
738	1161	410
739	1163	408
740	1164	407
741	1166	405
742	1167	403
743	1169	402
744	1170	400
745	1172	399
746	1174	397
747	1175	396
748	1177	394
749	1178	392
750	1180	391
751	1181	389
752	1183	388
