iter	RMSE
201	1.290518922
202	1.290131014
203	1.289885903
204	1.289674957
205	1.28935345
206	1.289013317
207	1.288871675
208	1.288698069
209	1.288482556
210	1.287997882
211	1.287713648
212	1.286896266
213	1.286578871
214	1.28629658
215	1.286076826
216	1.285787184
217	1.28555499
218	1.285433923
219	1.285021053
220	1.284672344
221	1.284414537
222	1.284270677
223	1.284083565
224	1.283745799
225	1.283272791
226	1.28286217
227	1.282312757
228	1.282018447
229	1.281762411
230	1.280963857
231	1.280607897
232	1.280324153
233	1.28022623
234	1.279908443
235	1.279558799
236	1.27873602
237	1.278422528
238	1.278184269
239	1.277893372
240	1.277746248
241	1.277237735
242	1.276618772
243	1.276542129
244	1.276283659
245	1.275838288
246	1.27538351
247	1.274890458
248	1.274503493
249	1.274228932
250	1.273365589
251	1.272503841
252	1.272374786
253	1.272076671
254	1.271960633
255	1.271894457
256	1.271653519
257	1.271367477
258	1.27114314
259	1.270784788
260	1.270565255
261	1.270048042
262	1.26968092
263	1.26911778
264	1.268479459
265	1.268128037
266	1.267815894
267	1.267729964
268	1.267456848
269	1.267337764
270	1.267177928
271	1.266890027
272	1.266411493
273	1.266320591
274	1.265919046
275	1.265715268
276	1.264900681
277	1.264464302
278	1.264382657
279	1.264273805
280	1.263634265
281	1.263496839
282	1.262756244
283	1.262063875
284	1.261899716
285	1.261756936
286	1.261343779
287	1.260984011
288	1.260664298
289	1.260409635
290	1.2602073
291	1.259865436
292	1.259652161
293	1.25948662
294	1.259161957
295	1.258999953
296	1.258216065
297	1.257900317
298	1.257589484
299	1.257177872
300	1.256855111
301	1.256462434
302	1.255997358
303	1.255531589
304	1.255019058
305	1.254897071
306	1.254575412
307	1.254271951
308	1.254056712
309	1.253833296
310	1.253527227
311	1.253407759
312	1.253017246
313	1.252518458
314	1.251812536
315	1.251553679
316	1.251240939
317	1.251128342
318	1.250909879
319	1.250712553
320	1.250626622
321	1.249998637
322	1.249831912
323	1.24963356
324	1.24931734
325	1.248709511
326	1.248357784
327	1.247864175
328	1.247310494
329	1.247166147
330	1.246867957
331	1.246591963
332	1.246152248
333	1.24560638
334	1.245376061
335	1.245021967
336	1.244803293
337	1.244732711
338	1.244478757
339	1.24407078
340	1.243790012
341	1.243281385
342	1.242942175
343	1.24265322
344	1.242643822
345	1.242407383
346	1.241815587
347	1.241719183
348	1.241259623
349	1.240961783
350	1.240715891
351	1.240479659
352	1.240024125
353	1.239665077
354	1.239409381
355	1.239094808
356	1.238901665
357	1.238690442
358	1.23829614
359	1.237988646
360	1.237754231
361	1.237680523
362	1.237471461
363	1.237198214
364	1.237005497
365	1.236910634
366	1.236526461
367	1.236461297
368	1.23612803
369	1.235861254
370	1.235630973
371	1.235012089
372	1.234864693
373	1.234760189
374	1.234367604
375	1.234042197
376	1.233855419
377	1.233587777
378	1.233357361
379	1.233075094
380	1.232879775
381	1.23243584
382	1.231732991
383	1.231162674
384	1.231022076
385	1.230870747
386	1.230792614
387	1.230688766
388	1.230432702
389	1.230117571
390	1.229751922
391	1.229138658
392	1.228958531
393	1.228809122
394	1.228538984
395	1.228287904
396	1.228108665
397	1.228060109
398	1.227447498
399	1.227327764
400	1.226971668
401	1.226855482
402	1.226770494
403	1.226521516
404	1.22644708
405	1.226370487
406	1.225950416
407	1.225603394
408	1.225418825
409	1.224975741
410	1.224698144
411	1.224474301
412	1.224256622
413	1.224017725
414	1.223617127
415	1.223321995
416	1.223152335
417	1.222839454
418	1.222698231
419	1.222534536
420	1.222437706
421	1.222279699
422	1.221943078
423	1.221867609
424	1.22155846
425	1.221446252
426	1.221091566
427	1.22083174
428	1.220356797
429	1.220261423
430	1.22007762
431	1.219496571
432	1.219280132
433	1.218815256
434	1.218659991
435	1.218445158
436	1.218063024
437	1.218013628
438	1.217844719
439	1.217515627
440	1.217364798
441	1.217130803
442	1.216805789
443	1.216624026
444	1.216427435
445	1.216175922
446	1.216066196
447	1.215642083
448	1.215328796
449	1.215049069
450	1.214714047
451	1.214617098
452	1.214404433
453	1.214135286
454	1.213802693
455	1.213655109
456	1.21355671
457	1.213237524
458	1.213024715
459	1.212592474
460	1.212324367
461	1.212067866
462	1.211862404
463	1.21169068
464	1.211399435
465	1.210988384
466	1.210653545
467	1.210338674
468	1.210311555
469	1.210110042
470	1.209816902
471	1.209500167
472	1.209351514
473	1.20928989
474	1.208922858
475	1.20884841
476	1.208808051
477	1.208667754
478	1.208323382
479	1.207956852
480	1.207645891
481	1.207481585
482	1.207086426
483	1.206615309
484	1.20627714
485	1.206039019
486	1.205817453
487	1.205472757
488	1.20518056
489	1.205010619
490	1.204625516
491	1.204523185
492	1.204313367
493	1.204168038
494	1.203776156
495	1.203579014
496	1.203316408
497	1.203250298
498	1.203034721
499	1.202619771
500	1.202400789
501	1.202004586
502	1.201846367
503	1.201759358
504	1.201656227
505	1.201252719
506	1.201063663
507	1.200809901
508	1.200625639
509	1.20009714
510	1.200013657
511	1.199580136
512	1.199360951
513	1.199294412
514	1.199152153
515	1.199024593
516	1.198644859
517	1.198534193
518	1.198357461
519	1.198075854
520	1.197793256
521	1.19744608
522	1.197322117
523	1.197115825
524	1.19700917
525	1.196856777
526	1.196800654
527	1.196666124
528	1.196605523
529	1.196330908
530	1.196106247
531	1.195920796
532	1.195748114
533	1.195674671
534	1.195625035
535	1.195360481
536	1.195004567
537	1.194522439
538	1.194205126
539	1.19384369
540	1.193385168
541	1.193232644
542	1.192874432
543	1.192523242
544	1.192317071
545	1.192111926
546	1.191859285
547	1.191730711
548	1.191508697
549	1.191348982
550	1.191323363
551	1.191090571
552	1.190680824
553	1.190596027
554	1.190251048
555	1.190152567
556	1.189824232
557	1.189676534
558	1.189367172
559	1.189151637
560	1.188815346
561	1.188375316
562	1.188030835
563	1.187712217
564	1.187559017
565	1.187323101
566	1.186802624
567	1.186506375
568	1.186074765
569	1.185631111
570	1.185110228
571	1.184903139
572	1.18469915
573	1.184480469
574	1.184296398
575	1.184011045
576	1.183710653
577	1.183681673
578	1.183404475
579	1.18327126
580	1.182970642
581	1.182676786
582	1.182524072
583	1.182316155
584	1.18201371
585	1.181701968
586	1.181484441
587	1.181243343
588	1.180767115
589	1.180579675
590	1.180374358
591	1.18015622
592	1.179773473
593	1.179487738
594	1.179264029
595	1.1789876
596	1.178759879
597	1.178484637
598	1.178248954
599	1.177934442
600	1.17778347
601	1.177583268
602	1.17740026
603	1.177347215
604	1.177213103
605	1.176947453
606	1.176855211
607	1.176595922
608	1.176136365
609	1.175944274
610	1.175488162
611	1.175175975
612	1.175056652
613	1.175010783
614	1.174852966
615	1.174792128
616	1.17468998
617	1.174632997
618	1.174472606
619	1.174053903
620	1.17379414
621	1.173588648
622	1.173388623
623	1.173211872
624	1.173092291
625	1.173034993
626	1.172776307
627	1.172495771
628	1.172290168
629	1.172076324
630	1.171991472
631	1.171835634
632	1.171722911
633	1.171456993
634	1.171337319
635	1.171199217
636	1.171109266
637	1.170886361
638	1.170649424
639	1.170553273
640	1.170285296
641	1.170073816
642	1.169878312
643	1.169717022
644	1.169586502
645	1.169470864
646	1.169265965
647	1.169194657
648	1.169143914
649	1.168857404
650	1.168377973
651	1.167953929
652	1.167809344
653	1.167635628
654	1.167398901
655	1.167281507
656	1.167034228
657	1.166962832
658	1.166622665
659	1.166520679
660	1.166404373
661	1.166381307
662	1.166121607
663	1.166045982
664	1.165613303
665	1.165525024
666	1.16542665
667	1.165349311
668	1.165218649
669	1.165140332
670	1.165066527
671	1.164824884
672	1.164454354
673	1.164229068
674	1.164087052
675	1.163860548
676	1.163541898
677	1.163367311
678	1.163221139
679	1.163017944
680	1.162884169
681	1.16235228
682	1.162073553
683	1.16178042
684	1.161735936
685	1.161324372
686	1.161073032
687	1.161016191
688	1.160773605
689	1.160493848
690	1.16023121
691	1.16015033
692	1.159948152
693	1.159752704
694	1.159421781
695	1.159239986
696	1.159123087
697	1.158964365
698	1.158751742
699	1.158483808
700	1.158210322
701	1.158143944
702	1.157930692
703	1.157740918
704	1.157522482
705	1.157314261
706	1.157195616
707	1.156991053
708	1.156741689
709	1.156545165
710	1.156507116
711	1.156297604
712	1.156072161
713	1.15587189
714	1.155572693
715	1.155405408
716	1.155374513
717	1.155039765
718	1.154791284
719	1.154666846
720	1.154590192
721	1.154460029
722	1.154379715
723	1.1542463
724	1.154085781
725	1.153895861
726	1.153729525
727	1.153503602
728	1.153284502
729	1.1531505
730	1.153068902
731	1.152846483
732	1.152599873
733	1.152369357
734	1.15229316
735	1.152070666
736	1.152036851
737	1.151873375
738	1.151800265
739	1.15148151
740	1.151182887
741	1.150990665
742	1.150742061
743	1.150564902
744	1.150421383
745	1.150267725
746	1.15017986
747	1.149966971
748	1.149748722
749	1.149561642
750	1.149278824
751	1.149236505
752	1.149215354
